t_ms,sid,pending,cum_queued,cum_sent
11400.0,1,3,3,0
11600.0,1,3,3,0
11600.0,2,3,3,0
11600.0,3,3,3,0
12000.0,1,3,3,0
12000.0,2,20,39873,39853
12000.0,3,3,3,0
12200.0,1,3,3,0
12200.0,2,20,107013,106993
12200.0,3,3,3,0
12400.0,1,17,768,751
12400.0,2,18,169721,169703
12400.0,3,16,1659,1643
12600.0,1,17,21780,21763
12600.0,2,18,191951,191933
12600.0,3,16,46119,46103
12800.0,1,17,42350,42333
12800.0,2,18,213731,213713
12800.0,3,16,90670,90654
13000.0,1,17,57990,57973
13000.0,2,18,230291,230273
13000.0,3,16,124710,124694
13200.0,1,17,74820,74803
13200.0,2,18,248129,248111
13200.0,3,21,161361,161340
13400.0,1,17,95594,95577
13400.0,2,18,270125,270107
13400.0,3,16,206591,206575
13600.0,1,17,115246,115229
13600.0,2,18,290933,290915
13600.0,3,21,249347,249326
13800.0,1,17,136853,136836
13800.0,2,18,313811,313793
13800.0,3,21,296374,296353
14000.0,1,17,144503,144486
14000.0,2,18,321893,321875
14000.0,3,21,353491,353470
14200.0,1,17,144503,144486
14200.0,2,18,321893,321875
14200.0,3,21,413320,413299
14400.0,1,17,144503,144486
14400.0,2,18,321893,321875
14400.0,3,21,465757,465736
14600.0,1,17,144503,144486
14600.0,2,18,321893,321875
14600.0,3,21,518320,518299
14800.0,1,17,144503,144486
14800.0,2,18,321893,321875
14800.0,3,21,571072,571051
15000.0,1,17,144503,144486
15000.0,2,18,321893,321875
15000.0,3,21,624979,624958
15200.0,1,17,153513,153496
15200.0,2,18,342602,342584
15200.0,3,16,646983,646967
15400.0,1,17,169663,169646
15400.0,2,18,379652,379634
15400.0,3,16,662199,662183
15600.0,1,17,186034,186017
15600.0,2,18,417170,417152
15600.0,3,16,677591,677575
15800.0,1,17,201742,201725
15800.0,2,18,453245,453227
15800.0,3,16,692391,692375
16000.0,1,17,215461,215444
16000.0,2,18,484718,484700
16000.0,3,16,705287,705271
16200.0,1,17,230999,230982
16200.0,2,21,520346,520325
16200.0,3,16,719911,719895
16400.0,1,17,244769,244752
16400.0,2,18,551915,551897
16400.0,3,16,732871,732855
16600.0,1,17,259695,259678
16600.0,2,21,586178,586157
16600.0,3,16,746919,746903
16800.0,1,17,276474,276457
16800.0,2,18,624650,624632
16800.0,3,16,762711,762695
17000.0,1,17,289530,289513
17000.0,2,18,654641,654623
17000.0,3,16,774999,774983
17200.0,1,17,302620,302603
17200.0,2,18,684671,684653
17200.0,3,16,787335,787319
17400.0,1,17,317920,317903
17400.0,2,18,719771,719753
17400.0,3,16,801735,801719
17600.0,1,17,331350,331333
17600.0,2,18,750581,750563
17600.0,3,16,814375,814359
17800.0,1,17,344933,344916
17800.0,2,18,781703,781685
17800.0,3,16,827143,827127
18000.0,1,17,362018,362001
18000.0,2,21,820919,820898
18000.0,3,16,843223,843207
18200.0,1,17,374326,374309
18200.0,2,18,849173,849155
18200.0,3,16,854823,854807
18400.0,1,17,387059,387042
18400.0,2,18,878345,878327
18400.0,3,16,866791,866775
18600.0,1,17,402869,402852
18600.0,2,18,914654,914636
18600.0,3,16,881687,881671
18800.0,1,17,408003,407986
18800.0,2,21,956003,955982
18800.0,3,16,886503,886487
19000.0,1,17,408003,407986
19000.0,2,21,1009112,1009091
19000.0,3,16,886503,886487
19200.0,1,17,408003,407986
19200.0,2,21,1062326,1062305
19200.0,3,16,886503,886487
19400.0,1,17,408003,407986
19400.0,2,21,1113020,1112999
19400.0,3,16,886503,886487
19600.0,1,17,408003,407986
19600.0,2,21,1171610,1171589
19600.0,3,16,886503,886487
19800.0,1,17,408003,407986
19800.0,2,21,1221128,1221107
19800.0,3,16,886503,886487
20000.0,1,17,408003,407986
20000.0,2,21,1275686,1275665
20000.0,3,16,886503,886487
20200.0,1,17,408003,407986
20200.0,2,21,1335998,1335977
20200.0,3,16,886503,886487
20400.0,1,17,415364,415347
20400.0,2,18,1375205,1375187
20400.0,3,21,902545,902524
20600.0,1,17,433486,433469
20600.0,2,18,1394393,1394375
20600.0,3,21,941987,941966
20800.0,1,17,450044,450027
20800.0,2,18,1411925,1411907
20800.0,3,21,978025,978004
21000.0,1,17,468030,468013
21000.0,2,18,1430969,1430951
21000.0,3,21,1017171,1017150
21200.0,1,17,485234,485217
21200.0,2,18,1449167,1449149
21200.0,3,16,1054594,1054578
21400.0,1,17,500296,500279
21400.0,2,18,1465133,1465115
21400.0,3,16,1087413,1087397
21600.0,1,17,518367,518350
21600.0,2,18,1484249,1484231
21600.0,3,21,1126728,1126707
21800.0,1,17,536880,536863
21800.0,2,18,1503851,1503833
21800.0,3,16,1167000,1166984
22000.0,1,17,554764,554747
22000.0,2,18,1522787,1522769
22000.0,3,16,1205924,1205908
22200.0,1,17,572597,572580
22200.0,2,18,1541669,1541651
22200.0,3,16,1244737,1244721
22400.0,1,17,590413,590396
22400.0,2,18,1560533,1560515
22400.0,3,16,1283513,1283497
22600.0,1,17,607770,607753
22600.0,2,18,1578929,1578911
22600.0,3,21,1321311,1321290
22800.0,1,17,625348,625331
22800.0,2,18,1597523,1597505
22800.0,3,21,1359569,1359548
23000.0,1,17,643351,643334
23000.0,2,18,1616585,1616567
23000.0,3,16,1398731,1398715
23200.0,1,17,662289,662272
23200.0,2,18,1636637,1636619
23200.0,3,21,1439970,1439949
23400.0,1,17,680445,680428
23400.0,2,18,1655879,1655861
23400.0,3,16,1479502,1479486
23600.0,1,17,698295,698278
23600.0,2,18,1674779,1674761
23600.0,3,21,1518336,1518315
23800.0,1,17,715856,715839
23800.0,2,18,1693373,1693355
23800.0,3,16,1556573,1556557
24000.0,1,17,732720,732703
24000.0,2,18,1711211,1711193
24000.0,3,16,1593240,1593224
24200.0,1,17,750349,750332
24200.0,2,18,1729877,1729859
24200.0,3,16,1631609,1631593
24400.0,1,17,765003,764986
24400.0,2,18,1745393,1745375
24400.0,3,21,1672848,1672827
24600.0,1,17,765003,764986
24600.0,2,18,1745393,1745375
24600.0,3,21,1734399,1734378
24800.0,1,17,765003,764986
24800.0,2,18,1745393,1745375
24800.0,3,21,1796055,1796034
25000.0,1,17,765003,764986
25000.0,2,18,1745393,1745375
25000.0,3,21,1853805,1853784
25200.0,1,17,765003,764986
25200.0,2,18,1745393,1745375
25200.0,3,22,1916975,1916953
25400.0,1,17,765003,764986
25400.0,2,18,1745393,1745375
25400.0,3,22,1978663,1978641
25600.0,1,17,775662,775645
25600.0,2,18,1770473,1770455
25600.0,3,16,2015535,2015519
25800.0,1,17,787171,787154
25800.0,2,22,1797575,1797553
25800.0,3,16,2026367,2026351
26000.0,1,17,790095,790078
26000.0,2,18,1804473,1804455
26000.0,3,16,2029119,2029103
26200.0,1,17,799292,799275
26200.0,2,18,1826113,1826095
26200.0,3,16,2037791,2037775
26400.0,1,17,816530,816513
26400.0,2,18,1866673,1866655
26400.0,3,16,2053999,2053983
26600.0,1,17,833309,833292
26600.0,2,18,1906153,1906135
26600.0,3,16,2069791,2069775
26800.0,1,17,847963,847946
26800.0,2,18,1940593,1940575
26800.0,3,16,2083583,2083567
27000.0,1,17,861393,861376
27000.0,2,18,1972233,1972215
27000.0,3,16,2096223,2096207
27200.0,1,17,876608,876591
27200.0,2,18,2007993,2007975
27200.0,3,16,2110543,2110527
27400.0,1,17,893438,893421
27400.0,2,18,2047593,2047575
27400.0,3,16,2126383,2126367
27600.0,1,17,911747,911730
27600.0,2,18,2090673,2090655
27600.0,3,16,2143615,2143599
27800.0,1,17,929291,929274
27800.0,2,18,2131993,2131975
27800.0,3,16,2160143,2160127
28000.0,1,17,944302,944285
28000.0,2,18,2167273,2167255
28000.0,3,16,2174255,2174239
28200.0,1,17,956066,956049
28200.0,2,18,2194993,2194975
28200.0,3,16,2185327,2185311
28400.0,1,17,969326,969309
28400.0,2,18,2226153,2226135
28400.0,3,16,2197807,2197791
28600.0,1,17,985408,985391
28600.0,2,22,2264015,2263993
28600.0,3,16,2212943,2212927
28800.0,1,17,1002918,1002901
28800.0,2,22,2305215,2305193
28800.0,3,16,2229423,2229407
29000.0,1,17,1020921,1020904
29000.0,2,18,2347593,2347575
29000.0,3,16,2246383,2246367
29200.0,1,17,1037003,1036986
29200.0,2,22,2391179,2391157
29200.0,3,16,2261503,2261487
29400.0,1,17,1037003,1036986
29400.0,2,22,2443869,2443847
29400.0,3,16,2261503,2261487
29600.0,1,17,1037003,1036986
29600.0,2,22,2500035,2500013
29600.0,3,16,2261503,2261487
29800.0,1,17,1037003,1036986
29800.0,2,22,2559787,2559765
29800.0,3,16,2261503,2261487
30000.0,1,17,1037003,1036986
30000.0,2,22,2621519,2621497
30000.0,3,16,2261503,2261487
30200.0,1,17,1037003,1036986
30200.0,2,22,2674055,2674033
30200.0,3,16,2261503,2261487
30400.0,1,17,1037003,1036986
30400.0,2,22,2736205,2736183
30400.0,3,16,2261503,2261487
30600.0,1,17,1037003,1036986
30600.0,2,22,2801545,2801523
30600.0,3,16,2261503,2261487
30800.0,1,17,1041899,1041882
30800.0,2,18,2852577,2852559
30800.0,3,22,2272469,2272447
31000.0,1,17,1059443,1059426
31000.0,2,18,2871171,2871153
31000.0,3,16,2311701,2311685
31200.0,1,17,1077412,1077395
31200.0,2,18,2890179,2890161
31200.0,3,22,2351851,2351829
31400.0,1,17,1095177,1095160
31400.0,2,18,2908989,2908971
31400.0,3,16,2391539,2391523
