t_ms,n,p50_ns,p90_ns,p99_ns,max_ns
11400.0,1,14167,14167,14167,14167
11600.0,2,12583,19666,19666,19666
12000.0,2050,2209,3916,11375,208084
12200.0,3357,2375,3667,9083,175792
12400.0,3139,2625,4125,38334,253834
12600.0,1236,4959,7209,57042,152625
12800.0,1209,4709,7000,54334,629333
13000.0,921,6375,10209,84583,606583
13200.0,990,6167,9125,96042,181375
13400.0,1222,5209,7500,59833,261167
13600.0,1156,5500,7916,68375,207500
13800.0,1271,5000,7500,60083,206542
14000.0,2378,3166,5375,21875,157542
14200.0,2849,3083,4708,60459,148375
14400.0,2496,3166,4834,28417,976417
14600.0,2503,2792,4333,46375,144125
14800.0,2512,2875,4542,37000,166042
15000.0,2567,2833,4458,31125,189625
15200.0,1175,4875,9166,60875,132041
15400.0,950,5667,8834,73750,155625
15600.0,962,5459,7833,71708,156625
15800.0,925,5791,8583,68167,103541
16000.0,807,6542,9500,64542,228834
16200.0,914,5542,8750,79291,213834
16400.0,810,6625,9667,94084,164792
16600.0,878,6125,9042,80250,174958
16800.0,987,5459,7666,56875,137792
17000.0,768,6875,11583,79041,167709
17200.0,770,6792,10500,73334,175000
17400.0,900,5875,8625,73375,144750
17600.0,790,6667,9875,78834,196000
17800.0,799,6666,9791,98167,1681000
18000.0,1005,5333,7875,50834,146167
18200.0,724,7250,11750,84875,356916
18400.0,749,7166,11167,95375,209625
18600.0,930,5542,8291,47667,117458
18800.0,1712,3834,6583,55500,161875
19000.0,2529,2916,4250,31916,229750
19200.0,2533,2875,4541,34583,139417
19400.0,2415,3083,4750,16333,190333
19600.0,2789,2625,4125,14417,125541
19800.0,2358,3000,5083,42583,188708
20000.0,2598,2750,4292,38459,309625
20200.0,2872,2542,3834,21083,138791
20400.0,1929,3083,5708,21500,107791
20600.0,1066,4709,7791,59750,141875
20800.0,974,5333,8333,79958,155792
21000.0,1058,4917,7250,71166,136584
21200.0,1012,5125,8584,40292,156875
21400.0,886,6292,9167,83250,183916
21600.0,1063,5084,7125,52417,106292
21800.0,1088,4875,7042,66125,485875
22000.0,1052,4792,6750,58584,108833
22200.0,1049,5000,7000,31500,121042
22400.0,1048,5083,7250,71833,129583
22600.0,1022,5208,7750,65458,131208
22800.0,1034,5166,7541,68625,126417
23000.0,1058,4958,6750,61709,110625
23200.0,1115,4792,6958,53833,144333
23400.0,1068,4750,6709,32250,150084
23600.0,1050,4875,7375,58625,120708
23800.0,1033,4958,7291,67500,155625
24000.0,991,5125,7291,77958,3010792
24200.0,1037,5083,7458,76250,133625
24400.0,1308,4417,6667,67250,157333
24600.0,2930,2459,3625,16292,152000
24800.0,2936,2500,3708,22209,159167
25000.0,2751,2666,4125,15709,165083
25200.0,2914,2500,3750,15750,147125
25400.0,2803,2625,4042,35500,138958
25600.0,1848,3292,5792,24375,176625
25800.0,677,6542,13542,75083,224708
26000.0,172,11292,36375,91167,300500
26200.0,541,8000,15458,90542,302333
26400.0,1014,5042,8125,76250,141417
26600.0,987,5208,8166,73292,163458
26800.0,862,6042,10625,44542,129250
27000.0,790,7000,10042,86250,181166
27200.0,894,5792,9416,84000,170166
27400.0,991,5166,7667,71167,175917
27600.0,1077,4916,7208,74209,178291
27800.0,1032,5000,6875,44542,146833
28000.0,883,5208,11667,92583,291959
28200.0,692,7292,12833,106125,221708
28400.0,780,6333,10250,102875,259542
28600.0,946,5125,7667,86666,156875
28800.0,1030,4750,7125,56333,149542
29000.0,1059,4917,6958,59792,129584
29200.0,1209,4875,7292,45500,81750
29400.0,2394,2958,4875,22958,346083
29600.0,2553,2792,4333,24500,150000
29800.0,2717,2583,4000,16083,145208
30000.0,2805,2625,4083,20667,184292
30200.0,2388,2959,4834,30959,194875
30400.0,2826,2542,3958,41917,134208
30600.0,2969,2500,3833,37084,142750
30800.0,2373,2709,4792,39166,94917
31000.0,1032,5083,7292,42334,151042
31200.0,1057,4875,6958,63917,120667
31400.0,1044,4916,7209,73125,122583
31600.0,1065,4625,6792,65583,150125
31800.0,1086,4833,6792,55084,114875
32000.0,1057,4917,7166,51750,118500
32200.0,1040,4959,7417,68208,107167
32400.0,1058,4708,6875,75000,151459
32600.0,1028,5000,7083,42458,105208
32800.0,971,5333,8416,49666,249542
33000.0,883,5875,8916,56042,104000
33200.0,981,5375,8250,65166,137166
33400.0,887,5875,9959,74791,159916
33600.0,976,5208,7542,64500,191000
33800.0,894,5375,8334,64292,138500
34000.0,602,7583,14334,92500,195500
34200.0,679,7542,13375,87541,203459
34400.0,1045,5083,8125,71250,148292
34600.0,786,6542,10542,77959,158958
34800.0,834,6333,11000,75667,155083
35000.0,830,6625,10875,70167,203833
35200.0,604,8041,15792,115709,175375
35400.0,1475,3625,9250,58250,258291
35600.0,2261,3167,5500,36166,251833
35800.0,2236,3042,5292,41250,254750
36000.0,2045,3291,5958,44334,268750
36200.0,1821,3875,7042,67125,214875
36400.0,2323,3041,5375,64750,6300459
36600.0,1185,3959,8542,70916,471625
36800.0,1892,3333,5834,32750,151334
37000.0,1675,3333,6208,43250,175333
37200.0,884,5875,9291,77666,295375
37400.0,952,5459,8250,60416,193375
37600.0,991,5250,7583,31958,144084
37800.0,1017,5084,7417,64459,115208
38000.0,904,5750,8917,62333,118750
38200.0,780,6917,11209,87459,200209
38400.0,835,6166,9584,81500,186625
38600.0,638,7792,18416,124333,200500
38800.0,667,8125,13083,99792,181458
39000.0,789,6625,10542,72958,128666
39200.0,936,5542,8458,61708,117541
39400.0,940,5625,7875,75041,175208
39600.0,965,5375,7542,70875,161541
39800.0,948,5375,8042,66375,123208
40000.0,888,5750,9000,105792,200334
40200.0,962,5334,7834,73584,212833
40400.0,906,5708,8375,71417,98459
40600.0,1997,3000,5666,19250,131625
40800.0,2450,2958,4333,62000,156542
41000.0,2496,2833,4541,43458,175667
41200.0,2485,2959,4667,35333,205084
41400.0,2680,2708,4250,43625,162959
41600.0,2508,2792,4291,24750,104250
41800.0,2203,3166,5083,63708,194834
42000.0,2480,3000,4625,20875,144208
42200.0,2190,2958,5250,27417,130833
42400.0,771,6708,10333,82292,187583
42600.0,927,5500,8667,59583,102666
42800.0,1047,5041,7292,64292,153542
43000.0,848,5750,8458,50792,196250
